"ID";"Perioden";"TotaalAanbod_1";"WinningUitDeBodem_2";"ProductieUitAndereBronnen_3";"InvoerVanGasvormigAardgasTotaal_4";"InvoerViaNoorwegen_5";"InvoerViaDuitsland_6";"InvoerViaBelgie_7";"InvoerViaVerenigdKoninkrijk_8";"InvoerViaDenemarken_9";"InvoerVloeibaarAardgasLNGTotaal_10";"InvoerUitVerenigdeStaten_11";"InvoerUitNoorwegen_12";"InvoerUitRusland_13";"InvoerUitAfrika_14";"InvoerUitAzie_15";"InvoerUitAmerikaExclDeVS_16";"InvoerUitOverigOnbekend_17";"UitvoerVanGasvormigAardgasTotaal_18";"UitvoerNaarDuitsland_19";"UitvoerNaarBelgie_20";"UitvoerNaarVerenigdKoninkrijk_21";"UitvoerVanVloeibaarAardgasLNG_22";"Bunkering_23";"Voorraadmutatie_24";"TotaalVerbruik_25";"Energiebedrijven_26";"VerbruikBijWinningEnAardgastransport_27";"Eindvoorraad_28";"EindvoorraadGasvormigAardgas_29";"EindvoorraadVloeibaarAardgasLNG_30";"Fakkels_31";"OpslagcapaciteitTotaal_32";"OpslagcapaciteitGasvormig_33";"OpslagcapaciteitVloeibaar_34"
"167";"2024MM12";"    3463";"     840";"      34";"    1433";"     695";"     427";"     160";"      57";"      95";"    1652";"     887";"     113";"     264";"     125";"       0";"     262";"       1";"    2905";"    2609";"     293";"       3";"      75";"      36";"    2520";"    3463";"     617";"      46";"    8292";"    8156";"     136";"       1";"   15025";"   14475";"     551"
"168";"2024KW04";"    8997";"    2502";"      98";"    4494";"    2202";"     993";"     979";"     140";"     180";"    4986";"    2966";"     301";"     718";"     227";"       0";"     769";"       6";"    8037";"    7186";"     828";"      23";"     264";"     137";"    5355";"    8997";"    2025";"     129";"    8292";"    8156";"     136";"       3";"   15025";"   14475";"     551"
"169";"2024JJ00";"   30109";"    9483";"     366";"   26106";"   11092";"    4813";"    6746";"    2580";"     875";"   21098";"   14449";"    1358";"    1959";"    1023";"       0";"    2290";"      19";"   29084";"   24416";"    4617";"      51";"    1027";"     517";"    3685";"   30109";"    6723";"     468";"    8292";"    8156";"     136";"      14";"   15025";"   14475";"     551"
"170";"2025MM01";"    4062";"     788";"      33";"    2020";"     686";"    1004";"     198";"      50";"      81";"    1676";"    1006";"     100";"     236";"     334";"       0";"       0";"       0";"    2917";"    2361";"     410";"     145";"     109";"      71";"    2643";"    4062";"     815";"      43";"    5650";"    5461";"     188";"       1";"   15025";"   14475";"     551"
"171";"2025MM02";"    3553";"     713";"      29";"    2267";"     633";"     776";"     723";"      42";"      93";"    1620";"     916";"       0";"     241";"     463";"       0";"       0";"       0";"    2481";"    2159";"     278";"      44";"      81";"      36";"    1523";"    3553";"     752";"      41";"    4127";"    3912";"     215";"       1";"   15025";"   14475";"     551"
"172";"2025MM03";"    2816";"     844";"      33";"    1896";"     729";"     176";"     820";"      44";"     127";"    2036";"    1416";"       3";"     256";"     122";"       0";"     239";"       0";"    2680";"    2377";"     300";"       2";"      63";"      29";"     779";"    2816";"     609";"      42";"    3348";"    3108";"     241";"       1";"   15025";"   14475";"     551"
"173";"2025KW01";"";"";"";"";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"174";"2025MM04";"    2065";"     784";"      31";"    2518";"     930";"     208";"     864";"     369";"     148";"    2264";"    1841";"      90";"     114";"     111";"       0";"     109";"       0";"    2668";"    2453";"     216";"       0";"     107";"      46";"    -711";"    2065";"     532";"      37";"    4059";"    3739";"     320";"       1";"   15025";"   14474";"     551"
"175";"2025MM05";"    1738";"     662";"      37";"    3003";"     954";"     480";"     978";"     466";"     124";"    2396";"    1727";"       0";"     231";"     109";"       0";"     328";"       1";"    2769";"    2550";"     219";"       0";"      87";"      59";"   -1445";"    1738";"     430";"      26";"    5504";"    5330";"     175";"       1";"   15025";"   14474";"     551"
"176";"2025MM06";"    1503";"     718";"      33";"    2827";"     690";"     213";"    1323";"     450";"     151";"    2613";"    2043";"       0";"     237";"     113";"       0";"     219";"       1";"    2679";"    2463";"     216";"       0";"     107";"      45";"   -1857";"    1503";"     382";"      31";"    7361";"    7097";"     264";"       1";"   15025";"   14474";"     551"
"177";"2025KW02";"";"";"";"";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"178";"2025MM07";"    1730";"     775";"      35";"    3153";"    1101";"      66";"    1243";"     617";"     125";"    2548";"    2209";"       0";"     110";"     115";"       0";"     114";"       1";"    3112";"    2785";"     326";"       0";"     141";"      64";"   -1465";"    1730";"     630";"      31";"    8826";"    8548";"     278";"      15";"   15025";"   14474";"     551"
"179";"2025MM08";"    1748";"     781";"      34";"    2216";"     625";"      90";"     984";"     391";"     125";"    2398";"    1791";"     141";"     229";"     122";"       0";"     114";"       1";"    2489";"    2266";"     223";"       0";"     114";"      66";"   -1012";"    1748";"     648";"      33";"    9837";"    9557";"     280";"       1";"   15025";"   14474";"     551"
"180";"2025MM09";"    1770";"     580";"      31";"    1971";"     711";"     275";"     578";"     290";"     117";"    2582";"    2023";"     202";"     232";"     118";"       0";"       0";"       7";"    2426";"    2137";"     289";"       0";"     118";"      77";"    -772";"    1770";"     513";"      27";"   10609";"   10309";"     300";"       1";"   15025";"   14474";"     551"
"181";"2025KW03";"";"";"";"";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"182";"2025MM10";"    2383";"     728";"      32";"    2010";"     675";"     357";"     830";"      28";"     120";"    2522";"    1906";"     180";"     112";"     220";"       0";"     104";"       1";"    2370";"    2080";"     271";"      19";"     110";"      69";"    -359";"    2383";"     686";"      32";"   10969";"   10656";"     313";"       1";"   15031";"   14480";"     551"
"183";"2025MM11";"    3029";"     747";"      32";"    1684";"     539";"     377";"     603";"      38";"     127";"    2066";"    1470";"     218";"     130";"     247";"       0";"       0";"       0";"    2582";"    2406";"     172";"       5";"      99";"      54";"    1236";"    3029";"     783";"      35";"    9733";"    9498";"     235";"       1";"   15031";"   14480";"     551"
"184";"2025MM12";"    3633";"     718";"      33";"    1529";"     587";"     711";"      68";"      40";"     123";"    1935";"    1563";"       0";"     246";"     124";"       0";"       0";"       3";"    2839";"    2471";"     361";"       6";"     106";"      41";"    2403";"    3633";"     911";"      36";"    7330";"    7098";"     232";"       1";"   15031";"   14480";"     551"
"185";"2025KW04";"";"";"";"";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"186";"2025JJ00";"";"";"";"";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"187";"2026MM01";"    4469";"     757";"      32";"    1512";"     346";"    1028";"       7";"      50";"      81";"    1822";"    1253";"     112";"     239";"       0";"       0";"     211";"       6";"    2868";"    2473";"     364";"      31";"     158";"      72";"    3445";"    4469";"    1101";"      43";"    3885";"    3691";"     194";"       1";"   15031";"   14480";"     551"
"188";"2026MM02";"    3344";"     620";"      29";"    1611";"     456";"     536";"     477";"      50";"      93";"    1833";"    1261";"     113";"     240";"       0";"       0";"     213";"       6";"    2647";"    2462";"     181";"       4";"     102";"      36";"    2037";"    3344";"     719";"      39";"    1848";"    1543";"     305";"       1";"   15031";"   14480";"     551"
