"ID";"Perioden";"TotaalAanbod_1";"WinningUitDeBodem_2";"ProductieUitAndereBronnen_3";"InvoerVanGasvormigAardgasTotaal_4";"InvoerViaNoorwegen_5";"InvoerViaDuitsland_6";"InvoerViaBelgie_7";"InvoerViaVerenigdKoninkrijk_8";"InvoerViaDenemarken_9";"InvoerVloeibaarAardgasLNGTotaal_10";"InvoerUitVerenigdeStaten_11";"InvoerUitNoorwegen_12";"InvoerUitRusland_13";"InvoerUitAfrika_14";"InvoerUitAzie_15";"InvoerUitAmerikaExclDeVS_16";"InvoerUitOverigOnbekend_17";"UitvoerVanGasvormigAardgasTotaal_18";"UitvoerNaarDuitsland_19";"UitvoerNaarBelgie_20";"UitvoerNaarVerenigdKoninkrijk_21";"UitvoerVanVloeibaarAardgasLNG_22";"Bunkering_23";"Voorraadmutatie_24";"TotaalVerbruik_25";"Energiebedrijven_26";"VerbruikBijWinningEnAardgastransport_27";"Eindvoorraad_28";"EindvoorraadGasvormigAardgas_29";"EindvoorraadVloeibaarAardgasLNG_30";"Fakkels_31";"OpslagcapaciteitTotaal_32";"OpslagcapaciteitGasvormig_33";"OpslagcapaciteitVloeibaar_34"
"31";"2016MM12";"    4768";"    4297";"      13";"    3830";"    1358";"    2094";"     128";"     175";"      76";"      83";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    6423";"    3111";"    2804";"     509";"     191";"       0";"    3160";"    4768";"    1024";"      79";"       .";"       .";"       .";"       3";"   14696";"   14281";"     416"
"32";"2016KW04";"   12430";"   12193";"      41";"   11524";"    5070";"    5008";"     692";"     468";"     285";"     388";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   17307";"    8922";"    6433";"    1952";"     202";"       1";"    5794";"   12430";"    2926";"     236";"       .";"       .";"       .";"      10";"   14696";"   14281";"     416"
"33";"2016JJ00";"   39862";"   50381";"     129";"   41904";"   17632";"   18030";"    3591";"    1919";"     733";"    1605";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   55445";"   32195";"   18373";"    4878";"    1091";"       2";"    2381";"   39862";"    9504";"     821";"       .";"       .";"       .";"      49";"   14696";"   14281";"     416"
"34";"2017MM01";"    5811";"    4720";"      20";"    4742";"    1992";"    2338";"     171";"     169";"      72";"       5";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    7141";"    3638";"    2963";"     541";"       7";"       2";"    3473";"    5811";"    1069";"      92";"    5001";"    4877";"     124";"       4";"   14696";"   14281";"     416"
"35";"2017MM02";"    4310";"    4094";"      14";"    3462";"    1505";"    1589";"     129";"     123";"     116";"      98";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    5377";"    2909";"    2104";"     363";"     109";"       0";"    2128";"    4310";"     791";"      75";"    2874";"    2777";"      97";"       3";"   14696";"   14281";"     416"
"36";"2017MM03";"    3775";"    3887";"      11";"    3663";"    1714";"    1316";"     376";"     143";"     115";"     144";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    4177";"    2943";"    1181";"      52";"      11";"       0";"     258";"    3775";"     798";"      83";"    2615";"    2404";"     211";"       6";"   14696";"   14281";"     416"
"37";"2017KW01";"   13896";"   12701";"      44";"   11867";"    5210";"    5244";"     676";"     435";"     302";"     247";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   16695";"    9490";"    6248";"     956";"     126";"       2";"    5859";"   13896";"    2658";"     250";"    2615";"    2404";"     211";"      13";"   14696";"   14281";"     416"
"38";"2017MM04";"    3290";"    3774";"       8";"    4291";"    1998";"    1325";"     709";"     150";"     109";"     192";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3658";"    2531";"    1127";"       0";"       1";"       0";"   -1315";"    3290";"     773";"      74";"    3931";"    3748";"     183";"       3";"   14696";"   14281";"     416"
"39";"2017MM05";"    2593";"    3500";"      10";"    4185";"    1990";"    1036";"     845";"     147";"     166";"     378";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3244";"    2311";"     923";"      11";"      40";"       1";"   -2194";"    2593";"     729";"      77";"    6125";"    5905";"     220";"       5";"   14696";"   14281";"     416"
"40";"2017MM06";"    2151";"    3041";"      10";"    3702";"    1902";"     939";"     646";"      85";"     130";"     295";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2860";"    2047";"     814";"       0";"      95";"       0";"   -1942";"    2151";"     691";"      60";"    8067";"    7813";"     254";"       3";"   14696";"   14281";"     416"
"41";"2017KW02";"    8034";"   10315";"      29";"   12178";"    5890";"    3300";"    2200";"     382";"     404";"     865";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    9763";"    6888";"    2864";"      11";"     137";"       1";"   -5451";"    8034";"    2193";"     210";"    8067";"    7813";"     254";"      11";"   14696";"   14281";"     416"
"42";"2017MM07";"    2336";"    3331";"      11";"    4094";"    2147";"     689";"    1147";"      47";"      65";"     145";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2916";"    2209";"     706";"       1";"     192";"       0";"   -2137";"    2336";"     904";"      63";"   10203";"   10035";"     168";"       5";"   14696";"   14281";"     416"
"43";"2017MM08";"    2201";"    3532";"      10";"    3840";"    2005";"     646";"    1005";"      87";"      96";"     156";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2937";"    2141";"     796";"       0";"      49";"       1";"   -2351";"    2201";"     651";"      73";"   12554";"   12309";"     245";"       3";"   14696";"   14281";"     416"
"44";"2017MM09";"    2661";"    2124";"      10";"    3887";"    2043";"     913";"     667";"      85";"     178";"      94";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3104";"    2232";"     868";"       4";"      29";"       0";"    -320";"    2661";"     813";"      67";"   12874";"   12588";"     285";"       4";"   13721";"   13305";"     416"
"45";"2017KW03";"    7198";"    8987";"      32";"   11820";"    6195";"    2248";"    2819";"     219";"     339";"     395";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    8957";"    6582";"    2370";"       6";"     270";"       1";"   -4807";"    7198";"    2369";"     204";"   12874";"   12588";"     285";"      12";"   13721";"   13305";"     416"
"46";"2017MM10";"    3096";"    3482";"      11";"    3762";"    2047";"    1028";"     548";"      74";"      66";"     289";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    4114";"    2895";"    1179";"      40";"     201";"       1";"    -133";"    3096";"     898";"      76";"   13007";"   12655";"     351";"       4";"   13721";"   13305";"     416"
"47";"2017MM11";"    4151";"    3763";"      12";"    4383";"    1971";"    2056";"     165";"      92";"      99";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    5477";"    2867";"    2278";"     332";"     104";"       0";"    1574";"    4151";"    1029";"      59";"   11433";"   11204";"     229";"       3";"   13726";"   13310";"     416"
"48";"2017MM12";"    4982";"    3892";"      13";"    5327";"    2156";"    2815";"     142";"      85";"     129";"     212";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    7067";"    2956";"    3345";"     765";"     233";"       1";"    2837";"    4982";"    1042";"      71";"    8596";"    8416";"     181";"       3";"   13726";"   13310";"     416"
"49";"2017KW04";"   12228";"   11138";"      36";"   13473";"    6175";"    5899";"     855";"     251";"     294";"     501";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   16658";"    8717";"    6803";"    1137";"     538";"       2";"    4278";"   12228";"    2968";"     206";"    8596";"    8416";"     181";"      10";"   13726";"   13310";"     416"
"50";"2017JJ00";"   41355";"   43140";"     141";"   49338";"   23470";"   16691";"    6550";"    1287";"    1340";"    2008";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   52073";"   31677";"   18285";"    2110";"    1071";"       6";"    -122";"   41355";"   10188";"     870";"    8596";"    8416";"     181";"      46";"   13726";"   13310";"     416"
"51";"2018MM01";"    4813";"    3869";"      14";"    4608";"    2005";"    2280";"     144";"      85";"      94";"       2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    6150";"    2833";"    2223";"    1095";"      18";"       1";"    2488";"    4813";"     860";"      75";"    6108";"    5961";"     147";"       2";"   13726";"   13310";"     416"
"52";"2018MM02";"    5109";"    3094";"      15";"    4628";"    1843";"    2548";"     120";"      79";"      38";"     445";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    6114";"    2525";"    3011";"     579";"     369";"       0";"    3411";"    5109";"     867";"      71";"    2697";"    2540";"     157";"       2";"   13726";"   13310";"     416"
"53";"2018MM03";"    4655";"    3798";"      17";"    4448";"    1988";"    2152";"     214";"      59";"      34";"     230";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    5375";"    2677";"    2105";"     592";"     206";"       1";"    1742";"    4655";"     817";"      76";"     955";"     823";"     132";"       2";"   13721";"   13305";"     416"
"54";"2018KW01";"   14577";"   10761";"      46";"   13685";"    5837";"    6981";"     478";"     223";"     166";"     677";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   17639";"    8035";"    7339";"    2266";"     592";"       1";"    7641";"   14577";"    2544";"     222";"     955";"     823";"     132";"       6";"   13721";"   13305";"     416"
"55";"2018MM04";"    2715";"    2866";"      15";"    4283";"    2216";"    1482";"     494";"      72";"      20";"     355";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3234";"    2099";"    1069";"      67";"      36";"       0";"   -1532";"    2715";"     560";"      72";"    2487";"    2269";"     218";"       2";"   13721";"   13305";"     416"
"56";"2018MM05";"    2279";"    2944";"      11";"    4382";"    2255";"    1353";"     671";"      85";"      18";"     443";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3552";"    2554";"     995";"       3";"     204";"       0";"   -1745";"    2279";"     598";"      72";"    4232";"    4046";"     186";"       4";"   13726";"   13310";"     416"
"57";"2018MM06";"    2260";"    2831";"      12";"    4217";"    2341";"    1265";"     537";"      54";"      21";"     492";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2790";"    1664";"    1119";"       7";"     354";"       2";"   -2147";"    2260";"     750";"      62";"    6379";"    6129";"     250";"       3";"   13726";"   13310";"     416"
"58";"2018KW02";"    7253";"    8641";"      38";"   12883";"    6812";"    4100";"    1701";"     211";"      59";"    1291";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    9577";"    6316";"    3183";"      77";"     594";"       3";"   -5424";"    7253";"    1907";"     206";"    6379";"    6129";"     250";"       9";"   13726";"   13310";"     416"
"59";"2018MM07";"    2278";"    2907";"      12";"    4123";"    2473";"     560";"    1002";"      65";"      23";"     375";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2815";"    1933";"     882";"       0";"     436";"       3";"   -1885";"    2278";"     910";"      71";"    8264";"    8095";"     169";"       4";"   13726";"   13310";"     416"
"60";"2018MM08";"    2400";"    2781";"      13";"    4647";"    2535";"    1040";"     987";"      84";"       0";"     426";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2830";"    2128";"     701";"       0";"     442";"       3";"   -2192";"    2400";"     952";"      68";"   10456";"   10324";"     132";"       2";"   13726";"   13310";"     416"
"61";"2018MM09";"    2518";"    2765";"       9";"    4298";"    2297";"    1404";"     525";"      71";"       0";"     844";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2724";"    1559";"    1141";"      23";"     517";"       2";"   -2155";"    2518";"     788";"      62";"   12611";"   12282";"     329";"       2";"   13726";"   13310";"     416"
"62";"2018KW03";"    7195";"    8453";"      34";"   13068";"    7305";"    3005";"    2515";"     220";"      23";"    1645";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    8369";"    5620";"    2725";"      23";"    1395";"       7";"   -6232";"    7195";"    2650";"     201";"   12611";"   12282";"     329";"       8";"   13726";"   13310";"     416"
"63";"2018MM10";"    3050";"    2645";"       9";"    4108";"    2147";"    1345";"     563";"      52";"       0";"     549";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3820";"    2706";"    1042";"      71";"      55";"       3";"    -383";"    3050";"     814";"      63";"   12994";"   12800";"     195";"       2";"   13726";"   13310";"     416"
"64";"2018MM11";"    4174";"    3079";"       9";"    3776";"    1783";"    1784";"     138";"      71";"       0";"     909";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    4400";"    2620";"    1626";"     154";"      19";"       3";"     824";"    4174";"    1018";"      68";"   12170";"   11924";"     247";"       2";"   13726";"   13310";"     416"
"65";"2018MM12";"    4559";"    3370";"      11";"    4321";"    1979";"    2013";"     251";"      77";"       0";"     707";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    5067";"    2836";"    1733";"     499";"      31";"       3";"    1251";"    4559";"     966";"      75";"   10920";"   10736";"     183";"       2";"   13726";"   13310";"     416"
"66";"2018KW04";"   11784";"    9094";"      29";"   12205";"    5909";"    5142";"     953";"     200";"       0";"    2165";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   13287";"    8162";"    4401";"     724";"     106";"       9";"    1692";"   11784";"    2797";"     206";"   10920";"   10736";"     183";"       5";"   13726";"   13310";"     416"
"67";"2018JJ00";"   40809";"   36949";"     147";"   51839";"   25863";"   19228";"    5647";"     854";"     248";"    5778";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   48872";"   28134";"   17648";"    3090";"    2687";"      21";"   -2323";"   40809";"    9898";"     835";"   10920";"   10736";"     183";"      28";"   13726";"   13310";"     416"
"68";"2019MM01";"    5323";"    3442";"      16";"    4631";"    2139";"    2271";"     146";"      76";"       0";"     693";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    6215";"    3191";"    1932";"    1092";"      10";"       5";"    2771";"    5323";"    1098";"      72";"    8149";"    8039";"     110";"       2";"   13726";"   13310";"     416"
"69";"2019MM02";"    4170";"    2843";"      14";"    3781";"    1727";"    1821";"     169";"      64";"       0";"     806";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    4463";"    2637";"    1478";"     348";"     131";"       3";"    1323";"    4170";"     992";"      55";"    6826";"    6610";"     216";"       2";"   13726";"   13310";"     416"
"70";"2019MM03";"    4167";"    3025";"      16";"    4246";"    2200";"    1411";"     564";"      71";"       0";"     905";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    4181";"    2867";"    1314";"       0";"      22";"       6";"     184";"    4167";"     964";"      70";"    6641";"    6459";"     182";"       2";"   13726";"   13310";"     416"
"71";"2019KW01";"   13660";"    9311";"      46";"   12658";"    6065";"    5502";"     879";"     212";"       0";"    2404";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   14860";"    8695";"    4725";"    1440";"     162";"      14";"    4278";"   13660";"    3054";"     197";"    6641";"    6459";"     182";"       6";"   13726";"   13310";"     416"
"72";"2019MM04";"    3056";"    2471";"      15";"    3515";"    1766";"    1143";"     544";"      61";"       0";"    1144";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3507";"    2415";"    1091";"       1";"       6";"       6";"    -569";"    3056";"     824";"      58";"    7210";"    7048";"     163";"       2";"   13710";"   13294";"     416"
"73";"2019MM05";"    3069";"    2792";"      19";"    3803";"    2028";"     961";"     755";"      58";"       0";"    1028";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3328";"    2423";"     904";"       0";"       1";"       4";"   -1239";"    3069";"    1008";"      59";"    8450";"    8366";"      84";"       1";"   13710";"   13294";"     416"
"74";"2019MM06";"    2353";"    2510";"      16";"    3620";"    1582";"    1117";"     874";"      46";"       0";"    1103";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2811";"    1937";"     860";"      15";"      11";"       5";"   -2068";"    2353";"     909";"      56";"   10518";"   10199";"     319";"       3";"   13710";"   13294";"     416"
"75";"2019KW02";"    8478";"    7772";"      49";"   10938";"    5377";"    3222";"    2173";"     165";"       0";"    3275";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    9646";"    6775";"    2855";"      16";"      18";"      16";"   -3876";"    8478";"    2742";"     173";"   10518";"   10199";"     319";"       6";"   13710";"   13294";"     416"
"76";"2019MM07";"    2551";"    2434";"      15";"    3432";"    2002";"     666";"     712";"      52";"       0";"     777";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2592";"    1760";"     815";"      17";"     351";"       9";"   -1155";"    2551";"    1043";"      59";"   11672";"   11447";"     225";"       2";"   13710";"   13294";"     416"
"77";"2019MM08";"    2555";"    2523";"      15";"    3433";"    1833";"    1096";"     470";"      33";"       0";"     641";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2653";"    1856";"     767";"      29";"     129";"       8";"   -1268";"    2555";"    1064";"      56";"   12940";"   12613";"     328";"       2";"   13710";"   13294";"     416"
"78";"2019MM09";"    2825";"    2184";"      14";"    3520";"    1492";"    1274";"     634";"      83";"      36";"     455";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2569";"    1686";"     866";"      17";"     126";"       8";"    -645";"    2825";"    1102";"      52";"   13586";"   13224";"     362";"       2";"   13710";"   13294";"     416"
"79";"2019KW03";"    7932";"    7141";"      44";"   10385";"    5327";"    3036";"    1817";"     168";"      36";"    1873";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    7813";"    5302";"    2448";"      63";"     605";"      24";"   -3068";"    7932";"    3209";"     167";"   13586";"   13224";"     362";"       6";"   13710";"   13294";"     416"
"80";"2019MM10";"    3593";"    2529";"      15";"    4352";"    1834";"    1740";"     416";"     255";"     107";"     328";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3344";"    2186";"    1150";"       8";"     115";"      10";"    -162";"    3593";"    1141";"      62";"   13748";"   13567";"     181";"       2";"   14732";"   14317";"     416"
"81";"2019MM11";"    4361";"    2377";"      16";"    3912";"    1484";"    1604";"     640";"      69";"     114";"     969";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    4210";"    2729";"    1355";"     125";"      23";"       8";"    1329";"    4361";"    1107";"      63";"   12419";"   12235";"     183";"       2";"   14732";"   14317";"     416"
"82";"2019MM12";"    4570";"    2427";"      16";"    4203";"    1463";"    1745";"     704";"     171";"     120";"    1002";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    4319";"    2856";"    1457";"       6";"      18";"       8";"    1267";"    4570";"     955";"      67";"   11152";"   10866";"     286";"       2";"   14732";"   14317";"     416"
"83";"2019KW04";"   12524";"    7333";"      47";"   12466";"    4781";"    5089";"    1760";"     495";"     341";"    2299";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   11873";"    7771";"    3963";"     139";"     156";"      26";"    2434";"   12524";"    3202";"     193";"   11152";"   10866";"     286";"       5";"   14732";"   14317";"     416"
"84";"2019JJ00";"   42594";"   31557";"     187";"   46446";"   21550";"   16849";"    6629";"    1040";"     377";"    9850";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   44192";"   28543";"   13990";"    1659";"     942";"      80";"    -232";"   42594";"   12206";"     730";"   11152";"   10866";"     286";"      23";"   14732";"   14317";"     416"
"85";"2020MM01";"    4988";"    2646";"      20";"    3549";"    1053";"    1745";"     500";"     137";"     114";"    1102";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3994";"    2833";"    1136";"      24";"      19";"      13";"    1697";"    4988";"    1226";"      67";"    9455";"    9206";"     249";"       1";"   14732";"   14317";"     416"
"86";"2020MM02";"    4359";"    2145";"      20";"    3631";"    1015";"    1856";"     601";"      58";"     101";"     985";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3920";"    2547";"    1281";"      92";"      23";"       9";"    1530";"    4359";"     928";"      61";"    7925";"    7729";"     196";"       1";"   14732";"   14317";"     416"
"87";"2020MM03";"    4111";"    1926";"      20";"    3490";"    1213";"    1324";"     794";"      52";"     106";"    1163";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3827";"    2538";"    1269";"      20";"      41";"      17";"    1397";"    4111";"     835";"      64";"    6527";"    6349";"     178";"       1";"   14687";"   14272";"     416"
"88";"2020KW01";"   13458";"    6716";"      60";"   10670";"    3281";"    4925";"    1895";"     247";"     322";"    3249";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   11741";"    7919";"    3686";"     136";"      83";"      38";"    4624";"   13458";"    2988";"     193";"    6527";"    6349";"     178";"       4";"   14687";"   14272";"     416"
"89";"2020MM04";"    2805";"    2122";"      19";"    3860";"    1366";"    1229";"     727";"     448";"      90";"    1183";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3159";"    2057";"    1102";"       0";"      29";"      10";"   -1181";"    2805";"     718";"      65";"    7708";"    7487";"     221";"       1";"   14687";"   14272";"     416"
"90";"2020MM05";"    2746";"    2423";"      20";"    4006";"    1385";"     909";"    1093";"     513";"     106";"    1177";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3212";"    2210";"    1002";"       0";"      12";"      11";"   -1646";"    2746";"     890";"      65";"    9355";"    9034";"     321";"       2";"   14687";"   14272";"     416"
"91";"2020MM06";"    2516";"    1645";"      21";"    4437";"    1908";"    1099";"     849";"     508";"      73";"     338";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2364";"    1466";"     898";"       0";"     141";"      11";"   -1409";"    2516";"     983";"      64";"   10764";"   10480";"     284";"       1";"   14724";"   14309";"     416"
"92";"2020KW02";"    8067";"    6190";"      60";"   12303";"    4659";"    3237";"    2670";"    1469";"     269";"    2699";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    8734";"    5732";"    3002";"       0";"     182";"      32";"   -4237";"    8067";"    2591";"     194";"   10764";"   10480";"     284";"       5";"   14724";"   14309";"     416"
"93";"2020MM07";"    2808";"    1389";"      21";"    3984";"    1911";"     795";"     655";"     542";"      81";"     742";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2468";"    1670";"     798";"       0";"      21";"      12";"    -826";"    2808";"    1178";"      74";"   11590";"   11305";"     285";"       2";"   14724";"   14309";"     416"
"94";"2020MM08";"    2768";"    1322";"      21";"    3562";"    2116";"     654";"     296";"     421";"      75";"     525";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    1802";"    1121";"     681";"       0";"     121";"      14";"    -724";"    2768";"    1248";"      61";"   12314";"   11982";"     332";"       2";"   14724";"   14309";"     416"
"95";"2020MM09";"    2698";"    1279";"      23";"    4710";"    2299";"    1072";"     882";"     356";"     101";"     299";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2172";"    1342";"     829";"       0";"     134";"      10";"   -1297";"    2698";"     976";"      44";"   13611";"   13459";"     151";"       2";"   14724";"   14309";"     416"
"96";"2020KW03";"    8274";"    3989";"      65";"   12256";"    6326";"    2520";"    1833";"    1319";"     257";"    1565";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    6442";"    4133";"    2308";"       0";"     277";"      36";"   -2847";"    8274";"    3402";"     180";"   13611";"   13459";"     151";"       6";"   14724";"   14309";"     416"
"97";"2020MM10";"    3418";"    1924";"      21";"    3999";"    1988";"    1428";"     487";"      21";"      76";"     540";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3107";"    1622";"    1208";"     277";"     190";"      14";"     244";"    3418";"     857";"      56";"   13366";"   13120";"     246";"       2";"   15054";"   14638";"     416"
"98";"2020MM11";"    3812";"    1905";"      21";"    4129";"    1759";"    1810";"     406";"      57";"      97";"     683";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3252";"    1762";"    1221";"     269";"     106";"      13";"     446";"    3812";"     989";"      63";"   12921";"   12657";"     264";"       2";"   15089";"   14673";"     416"
"99";"2020MM12";"    4824";"    2130";"      21";"    4216";"    1703";"    2177";"     245";"      52";"      39";"     347";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3702";"    1787";"    1413";"     501";"      33";"      18";"    1862";"    4824";"     982";"      66";"   11059";"   10704";"     354";"       1";"   15143";"   14728";"     416"
"100";"2020KW04";"   12054";"    5959";"      63";"   12344";"    5450";"    5416";"    1138";"     129";"     212";"    1570";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   10060";"    5171";"    3842";"    1047";"     329";"      45";"    2552";"   12054";"    2828";"     184";"   11059";"   10704";"     354";"       5";"   15143";"   14728";"     416"
"101";"2020JJ00";"   41853";"   22855";"     248";"   47573";"   19716";"   16098";"    7535";"    3165";"    1060";"    9083";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   36977";"   22955";"   12838";"    1183";"     871";"     150";"      93";"   41853";"   11810";"     751";"   11059";"   10704";"     354";"      20";"   15143";"   14728";"     416"
"102";"2021MM01";"    5596";"    2301";"      22";"    5112";"    2298";"    2669";"       0";"      51";"      93";"     336";"     100";"       0";"     233";"       0";"       0";"       0";"       3";"    5845";"    2158";"    2247";"    1440";"     338";"      15";"    4022";"    5596";"     918";"      71";"    7037";"    6757";"     280";"       8";"   15143";"   14728";"     416"
"103";"2021MM02";"    4623";"    1862";"      21";"    3711";"    1591";"    1763";"     236";"      42";"      79";"     431";"     133";"       0";"     142";"       0";"       0";"       0";"     155";"    3814";"    2175";"    1126";"     513";"      42";"      18";"    2473";"    4623";"     910";"      64";"    4564";"    4463";"     102";"       7";"   15136";"   14720";"     416"
"104";"2021MM03";"    4415";"    2090";"      19";"    3963";"    1658";"    1685";"     509";"      24";"      88";"    1224";"     688";"       4";"     214";"      99";"       0";"     196";"      23";"    3905";"    2370";"    1346";"     189";"      26";"      15";"    1064";"    4415";"     941";"      64";"    3500";"    3338";"     162";"       8";"   15136";"   14720";"     416"
"105";"2021KW01";"   14635";"    6253";"      62";"   12786";"    5547";"    6118";"     745";"     117";"     260";"    1991";"     920";"       4";"     589";"      99";"       0";"     196";"     182";"   13564";"    6703";"    4720";"    2142";"     406";"      47";"    7559";"   14635";"    2769";"     198";"    3500";"    3338";"     162";"      23";"   15136";"   14720";"     416"
"106";"2021MM04";"    3657";"    2053";"      19";"    3209";"    1396";"     909";"     787";"      43";"      74";"    1299";"     620";"       0";"     421";"     128";"       0";"     128";"       3";"    3470";"    2177";"    1261";"      32";"      75";"      15";"     637";"    3657";"     697";"      62";"    2863";"    2640";"     223";"       8";"   15136";"   14720";"     416"
"107";"2021MM05";"    2979";"    1988";"      23";"    3108";"    1276";"     844";"     848";"      48";"      92";"    1269";"     815";"       0";"     234";"     217";"       0";"       0";"       3";"    3022";"    1857";"    1107";"      58";"      58";"      15";"    -314";"    2979";"     633";"      63";"    3178";"    3043";"     134";"       8";"   15136";"   14720";"     416"
"108";"2021MM06";"    2306";"    1393";"      25";"    3506";"    1918";"     667";"     706";"     132";"      83";"     668";"     317";"       0";"     345";"       0";"       0";"       0";"       6";"    1805";"    1331";"     474";"       0";"      38";"      16";"   -1427";"    2306";"     795";"      59";"    4604";"    4336";"     268";"       7";"   15136";"   14720";"     416"
"109";"2021KW02";"    8942";"    5435";"      66";"    9823";"    4590";"    2419";"    2342";"     223";"     249";"    3236";"    1752";"       0";"    1000";"     345";"       0";"     128";"      12";"    8298";"    5365";"    2843";"      90";"     171";"      45";"   -1104";"    8942";"    2125";"     184";"    4604";"    4336";"     268";"      23";"   15136";"   14720";"     416"
"110";"2021MM07";"    2151";"    1557";"      24";"    3702";"    2220";"     549";"     687";"     159";"      87";"     428";"     245";"       0";"      90";"       0";"      83";"       0";"       9";"    2127";"    1373";"     754";"       0";"     143";"      13";"   -1277";"    2151";"     631";"      56";"    5881";"    5564";"     318";"       7";"   15136";"   14720";"     416"
"111";"2021MM08";"    1838";"    1520";"      24";"    3987";"    2526";"     668";"     569";"     137";"      88";"     359";"     232";"       0";"     115";"       0";"       0";"       0";"      13";"    2417";"    1616";"     801";"       0";"     173";"      20";"   -1443";"    1838";"     329";"      54";"    7324";"    7097";"     227";"       7";"   15136";"   14720";"     416"
"112";"2021MM09";"    2134";"    1383";"      21";"    4132";"    2419";"     660";"     813";"     165";"      76";"     718";"     198";"       0";"     224";"     192";"       0";"       0";"     104";"    2430";"    1704";"     726";"       0";"     137";"      14";"   -1539";"    2134";"     576";"      51";"    8863";"    8618";"     245";"       5";"   15136";"   14720";"     416"
