"ID";"Periods";"TotalSupply_1";"IndigenousProduction_2";"ProductionFromOtherSources_3";"ImportsOfGaseousNaturalGasTotal_4";"ImportsViaNorway_5";"ImportsViaGermany_6";"ImportsViaBelgium_7";"ImportsViaUnitedKingdom_8";"ImportsViaDenmark_9";"ImportsOfLNGTotal_10";"ImportsViaTheUnitedStates_11";"ImportsViaNorway_12";"ImportsViaRussia_13";"ImportsViaAfrica_14";"ImportsViaAsia_15";"ImportsViaAmericaExcludingUS_16";"ImportsViaOtherUnknown_17";"ExportsOfGaseousNaturalGasTotal_18";"ExportsToNorway_19";"ExportsToGermany_20";"ExportsToBelgium_21";"ExportsToUnitedKingdom_22";"ExportsToDenmark_23";"ExportsOfLiquefiedNaturalGasLNG_24";"Bunkers_25";"StockChange_26";"TotalConsumption_27";"TotalViaTheMainGrid_28";"ElectricityPowerPlants_29";"OtherConsumers_30";"ViaRegionalGrids_31";"ConsumptionByProductionAndTransport_32";"ClosingStock_33";"ClosingStockGaseousGas_34";"ClosingStockLiquefiedNaturalGas_35";"Flaring_36";"StorageCapacityTotal_37";"StorageCapacityGaseousGas_38";"StorageCapacityLiquefiedNaturalGas_39"
"394";"2001KW03";"    8122";"   10890";"       3";"    4925";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    7349";"";"";"";"";"";"";"       .";"    -347";"    8122";"    5595";"    1794";"    3801";"    2363";"     164";"       .";"";"";"      28";"";"";""
"395";"2001MM10";"    3359";"    4530";"       1";"    1897";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3217";"";"";"";"";"";"";"       .";"     148";"    3359";"    2175";"     667";"    1508";"    1110";"      74";"       .";"";"";"      34";"";"";""
"396";"2001MM11";"    4705";"    7736";"       1";"    1816";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    4987";"";"";"";"";"";"";"       .";"     139";"    4705";"    2241";"     753";"    1488";"    2384";"      80";"       .";"";"";"      37";"";"";""
"397";"2001MM12";"    5873";"    9725";"       1";"    1826";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    5820";"";"";"";"";"";"";"       .";"     141";"    5873";"    1996";"     788";"    1208";"    3797";"      80";"       .";"";"";"      37";"";"";""
"398";"2001KW04";"   13937";"   21991";"       3";"    5539";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   14024";"";"";"";"";"";"";"       .";"     428";"   13937";"    6412";"    2208";"    4204";"    7291";"     234";"       .";"";"";"     108";"";"";""
"399";"2002MM01";"    5892";"    9687";"       1";"    1942";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    5901";"";"";"";"";"";"";"       .";"     163";"    5892";"    2086";"     769";"    1317";"    3732";"      74";"       .";"";"";"      10";"";"";""
"400";"2002MM02";"    4956";"    7393";"       1";"    2062";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    4649";"";"";"";"";"";"";"       .";"     149";"    4956";"    2088";"     659";"    1429";"    2801";"      67";"       .";"";"";"       7";"";"";""
"401";"2002MM03";"    4747";"    7074";"       1";"    1968";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    4449";"";"";"";"";"";"";"       .";"     153";"    4747";"    2024";"     643";"    1381";"    2648";"      75";"       .";"";"";"       5";"";"";""
"402";"2002KW01";"   15595";"   24154";"       3";"    5972";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   14999";"";"";"";"";"";"";"       .";"     465";"   15595";"    6198";"    2071";"    4127";"    9181";"     216";"       .";"";"";"      22";"";"";""
"403";"2002MM04";"    3905";"    5772";"       1";"    2330";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3999";"";"";"";"";"";"";"       .";"    -199";"    3905";"    1848";"     593";"    1255";"    1991";"      66";"       .";"";"";"       5";"";"";""
"404";"2002MM05";"    3128";"    4562";"       1";"    2194";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3433";"";"";"";"";"";"";"       .";"    -196";"    3128";"    1804";"     618";"    1186";"    1271";"      53";"       .";"";"";"       3";"";"";""
"405";"2002MM06";"    2857";"    3946";"       1";"    1978";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2877";"";"";"";"";"";"";"       .";"    -191";"    2857";"    2006";"     662";"    1344";"     791";"      60";"       .";"";"";"       4";"";"";""
"406";"2002KW02";"    9890";"   14280";"       3";"    6502";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   10309";"";"";"";"";"";"";"       .";"    -586";"    9890";"    5658";"    1873";"    3785";"    4053";"     179";"       .";"";"";"      12";"";"";""
"407";"2002MM07";"    2565";"    3926";"       1";"    1794";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2963";"";"";"";"";"";"";"       .";"    -193";"    2565";"    1767";"     558";"    1209";"     741";"      57";"       .";"";"";"       4";"";"";""
