"ID";"Periods";"TotalSupply_1";"IndigenousProduction_2";"ProductionFromOtherSources_3";"ImportsOfGaseousNaturalGasTotal_4";"ImportsViaNorway_5";"ImportsViaGermany_6";"ImportsViaBelgium_7";"ImportsViaUnitedKingdom_8";"ImportsViaDenmark_9";"ImportsOfLiquefiedNaturalGasLng_10";"ExportsOfGaseousNaturalGasTotal_11";"ExportsToNorway_12";"ExportsToGermany_13";"ExportsToBelgium_14";"ExportsToUnitedKingdom_15";"ExportsToDenmark_16";"ExportsOfLiquefiedNaturalGasLng_17";"Bunkers_18";"StockChange_19";"TotalConsumption_20";"TotalViaTheMainGrid_21";"ElectricityPowerPlants_22";"OtherConsumers_23";"ViaRegionalGrids_24";"ConsumptionByProductionAndTransport_25";"ClosingStock_26";"ClosingStockGaseousGas_27";"ClosingStockLiquefiedNaturalGas_28";"Flaring_29";"StorageCapacityTotal_30";"StorageCapacityGaseousGas_31";"StorageCapacityLiquefiedNaturalGas_32"
"575";"2013MM10";"    3114";"    5925";"      19";"    1804";"";"";"";"";"";"     106";"    4770";"";"";"";"";"";"       0";"       0";"      30";"    3114";"    1690";"     516";"    1174";"    1360";"      64";"       .";"";"";"       4";"";"";""
"576";"2013MM11";"    4176";"    7824";"      12";"    2081";"";"";"";"";"";"      10";"    6288";"";"";"";"";"";"     208";"       0";"     745";"    4176";"    1833";"     693";"    1140";"    2270";"      73";"       .";"";"";"       4";"";"";""
"577";"2013MM12";"    4726";"    8714";"       5";"    2472";"";"";"";"";"";"     159";"    7076";"";"";"";"";"";"     125";"       0";"     577";"    4726";"    1952";"     701";"    1251";"    2694";"      80";"       .";"";"";"       4";"";"";""
"578";"2013KW04";"   12016";"   22463";"      36";"    6357";"";"";"";"";"";"     275";"   18134";"";"";"";"";"";"     333";"       0";"    1352";"   12016";"    5475";"    1910";"    3565";"    6324";"     217";"       .";"";"";"      12";"";"";""
"579";"2013JJ00";"   44250";"   82358";"      90";"   27907";"";"";"";"";"";"     942";"   66891";"";"";"";"";"";"     347";"       0";"     191";"   44250";"   20699";"    6843";"   13856";"   22742";"     809";"       .";"";"";"      42";"";"";""
"580";"2014MM01";"    4652";"    8056";"       8";"    2580";"";"";"";"";"";"      96";"    6832";"";"";"";"";"";"      77";"       0";"     821";"    4652";"    1735";"     500";"    1235";"    2847";"      70";"       .";"";"";"       4";"";"";""
"581";"2014MM02";"    4028";"    6775";"       7";"    2097";"";"";"";"";"";"       0";"    5224";"";"";"";"";"";"       0";"       0";"     373";"    4028";"    1520";"     418";"    1102";"    2446";"      62";"       .";"";"";"       4";"";"";""
"582";"2014MM03";"    3564";"    6561";"       8";"    2248";"";"";"";"";"";"     107";"    5429";"";"";"";"";"";"       0";"       0";"      69";"    3564";"    1563";"     390";"    1173";"    1932";"      69";"       .";"";"";"       3";"";"";""
"583";"2014KW01";"   12244";"   21392";"      23";"    6925";"";"";"";"";"";"     203";"   17485";"";"";"";"";"";"      77";"       0";"    1263";"   12244";"    4818";"    1308";"    3510";"    7225";"     201";"       .";"";"";"      11";"";"";""
"584";"2014MM04";"    2781";"    5591";"       9";"    2048";"";"";"";"";"";"     187";"    4441";"";"";"";"";"";"      70";"       0";"    -543";"    2781";"    1518";"     496";"    1022";"    1197";"      66";"       .";"";"";"       4";"";"";""
"585";"2014MM05";"    2623";"    5425";"       9";"    2305";"";"";"";"";"";"       0";"    4294";"";"";"";"";"";"       0";"       0";"    -822";"    2623";"    1525";"     499";"    1026";"    1036";"      62";"       .";"";"";"       7";"";"";""
"586";"2014MM06";"    2345";"    4133";"      11";"    2536";"";"";"";"";"";"      97";"    3677";"";"";"";"";"";"     163";"       0";"    -592";"    2345";"    1585";"     579";"    1006";"     713";"      47";"       .";"";"";"       4";"";"";""
"587";"2014KW02";"    7749";"   15149";"      29";"    6889";"";"";"";"";"";"     284";"   12412";"";"";"";"";"";"     233";"       0";"   -1957";"    7749";"    4628";"    1574";"    3054";"    2946";"     175";"       .";"";"";"      15";"";"";""
"588";"2014MM07";"    2233";"    3978";"       8";"    2463";"";"";"";"";"";"     238";"    3522";"";"";"";"";"";"      15";"       0";"    -917";"    2233";"    1565";"     501";"    1064";"     619";"      49";"       .";"";"";"       3";"";"";""
"589";"2014MM08";"    2421";"    4382";"       8";"    2312";"";"";"";"";"";"     181";"    3646";"";"";"";"";"";"      97";"       0";"    -719";"    2421";"    1630";"     512";"    1118";"     727";"      64";"       .";"";"";"       5";"";"";""
"590";"2014MM09";"    2506";"    4340";"       7";"    2747";"";"";"";"";"";"       2";"    4001";"";"";"";"";"";"      99";"       0";"    -490";"    2506";"    1698";"     623";"    1075";"     749";"      59";"       .";"";"";"       4";"";"";""
"591";"2014KW03";"    7160";"   12700";"      23";"    7522";"";"";"";"";"";"     421";"   11169";"";"";"";"";"";"     211";"       0";"   -2126";"    7160";"    4893";"    1636";"    3257";"    2095";"     172";"       .";"";"";"      12";"";"";""
"592";"2014MM10";"    2929";"    5296";"       9";"    2254";"";"";"";"";"";"      96";"    4475";"";"";"";"";"";"       7";"       0";"    -244";"    2929";"    1674";"     606";"    1068";"    1194";"      61";"       .";"";"";"       7";"";"";""
"593";"2014MM11";"    3692";"    6515";"       8";"    2157";"";"";"";"";"";"     183";"    5418";"";"";"";"";"";"      15";"       0";"     262";"    3692";"    1653";"     556";"    1097";"    1972";"      67";"       .";"";"";"       6";"";"";""
"594";"2014MM12";"    4824";"    7632";"      10";"    2597";"";"";"";"";"";"       0";"    6758";"";"";"";"";"";"      88";"       0";"    1431";"    4824";"    1842";"     583";"    1259";"    2917";"      65";"       .";"";"";"       4";"";"";""
"595";"2014KW04";"   11445";"   19443";"      27";"    7008";"";"";"";"";"";"     279";"   16651";"";"";"";"";"";"     110";"       0";"    1449";"   11445";"    5169";"    1745";"    3424";"    6083";"     193";"       .";"";"";"      17";"";"";""
"596";"2014JJ00";"   38597";"   68684";"     102";"   28344";"";"";"";"";"";"    1187";"   57717";"";"";"";"";"";"     631";"       1";"   -1371";"   38597";"   19508";"    6263";"   13245";"   18349";"     740";"       .";"";"";"      55";"";"";""
