"ID";"Periods";"TotalSupply_1";"IndigenousProduction_2";"ProductionFromOtherSources_3";"ImportsOfGaseousNaturalGasTotal_4";"ImportsViaNorway_5";"ImportsViaGermany_6";"ImportsViaBelgium_7";"ImportsViaUnitedKingdom_8";"ImportsViaDenmark_9";"ImportsOfLiquefiedNaturalGasLng_10";"ExportsOfGaseousNaturalGasTotal_11";"ExportsToNorway_12";"ExportsToGermany_13";"ExportsToBelgium_14";"ExportsToUnitedKingdom_15";"ExportsToDenmark_16";"ExportsOfLiquefiedNaturalGasLng_17";"Bunkers_18";"StockChange_19";"TotalConsumption_20";"TotalViaTheMainGrid_21";"ElectricityPowerPlants_22";"OtherConsumers_23";"ViaRegionalGrids_24";"ConsumptionByProductionAndTransport_25";"ClosingStock_26";"ClosingStockGaseousGas_27";"ClosingStockLiquefiedNaturalGas_28";"Flaring_29";"StorageCapacityTotal_30";"StorageCapacityGaseousGas_31";"StorageCapacityLiquefiedNaturalGas_32"
"0";"1946JJ00";"       0";"       0";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"       .";"";"";""
"1";"1947JJ00";"       1";"       1";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"       .";"";"";""
"2";"1948JJ00";"       5";"       5";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"       .";"";"";""
"3";"1949JJ00";"       7";"       7";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"       .";"";"";""
"4";"1950JJ00";"       5";"       5";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"       .";"";"";""
"5";"1951JJ00";"       9";"       9";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"";"";"       .";"";"";""
"6";"1952JJ00";"      15";"      15";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"";"";"       .";"";"";""
"7";"1953JJ00";"      24";"      24";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       1";"       .";"       .";"";"";"       .";"";"";""
"8";"1954JJ00";"      91";"      91";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       6";"       .";"       .";"";"";"       .";"";"";""
"9";"1955JJ00";"     128";"     128";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"      19";"       .";"       .";"";"";"       .";"";"";""
"10";"1956JJ00";"     143";"     143";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"      38";"       .";"       .";"";"";"       .";"";"";""
"11";"1957JJ00";"     137";"     137";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"      52";"       .";"       .";"";"";"       .";"";"";""
"12";"1958JJ00";"     173";"     173";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"      84";"       .";"       .";"";"";"       .";"";"";""
"13";"1959JJ00";"     215";"     215";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"     113";"       .";"       .";"";"";"       .";"";"";""
"14";"1960JJ00";"     312";"     312";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"     158";"       .";"       .";"";"";"       .";"";"";""
"15";"1961JJ00";"     426";"     426";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"     165";"       .";"       .";"";"";"       .";"";"";""
"16";"1962JJ00";"     524";"     524";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"     178";"       .";"       .";"";"";"       .";"";"";""
"17";"1963JJ00";"     619";"     619";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"     224";"       .";"       .";"";"";"       .";"";"";""
"18";"1964JJ00";"     857";"     869";"       .";"";"";"";"";"";"";"";"      12";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"     327";"       .";"       .";"";"";"       .";"";"";""
"19";"1965JJ00";"    1702";"    1738";"       .";"";"";"";"";"";"";"";"      36";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"     735";"       .";"       .";"";"";"       .";"";"";""
"20";"1966JJ00";"    3262";"    3405";"       .";"";"";"";"";"";"";"";"     143";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"    1580";"       .";"       .";"";"";"       .";"";"";""
"21";"1967JJ00";"    5739";"    7108";"       .";"";"";"";"";"";"";"";"    1369";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"    2927";"       .";"       .";"";"";"       .";"";"";""
"22";"1968JJ00";"    9679";"   14215";"       .";"";"";"";"";"";"";"";"    4536";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"    4871";"       .";"       .";"";"";"       .";"";"";""
"23";"1969JJ00";"   14263";"   22037";"       .";"";"";"";"";"";"";"";"    7774";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"    7005";"       .";"       .";"";"";"       .";"";"";""
"24";"1970JJ00";"   20073";"   31764";"       .";"";"";"";"";"";"";"";"   11691";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"    9122";"       .";"       .";"";"";"       .";"";"";""
"25";"1971JJ00";"   26228";"   43896";"       .";"";"";"";"";"";"";"";"   17668";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"   11423";"       .";"       .";"";"";"       .";"";"";""
"26";"1972JJ00";"   34121";"   58516";"       .";"";"";"";"";"";"";"";"   24395";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"   14996";"       .";"       .";"";"";"       .";"";"";""
"27";"1973JJ00";"   37931";"   71148";"       .";"";"";"";"";"";"";"";"   33217";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"   16886";"       .";"       .";"";"";"       .";"";"";""
"28";"1974JJ00";"   40384";"   84351";"       .";"";"";"";"";"";"";"";"   43967";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"   17958";"       .";"       .";"";"";"       .";"";"";""
"29";"1975JJ00";"   42093";"   91366";"       .";"";"";"";"";"";"";"";"   49295";"";"";"";"";"";"";"       .";"      22";"       .";"       .";"       .";"       .";"   20071";"       .";"       .";"";"";"       .";"";"";""
"30";"1976JJ00";"   43735";"   97631";"       .";"";"";"";"";"";"";"";"   53892";"";"";"";"";"";"";"       .";"      -4";"       .";"       .";"       .";"       .";"   21675";"       .";"       .";"";"";"       .";"";"";""
"31";"1977JJ00";"   43893";"   97953";"       .";"     291";"";"";"";"";"";"";"   54319";"";"";"";"";"";"";"       .";"     -32";"       .";"       .";"       .";"       .";"   21904";"       .";"       .";"";"";"       .";"";"";""
"32";"1978JJ00";"   43989";"   89667";"       .";"    1760";"";"";"";"";"";"";"   47383";"";"";"";"";"";"";"       .";"     -55";"       .";"       .";"       .";"       .";"   23886";"       .";"       .";"";"";"       .";"";"";""
"33";"1979JJ00";"   43786";"   94040";"       .";"    2068";"";"";"";"";"";"";"   52312";"";"";"";"";"";"";"       .";"     -10";"       .";"       .";"       .";"       .";"   25691";"       .";"       .";"";"";"       .";"";"";""
"34";"1980JJ00";"   40030";"   90929";"       .";"    3786";"";"";"";"";"";"";"   54685";"";"";"";"";"";"";"       .";"       0";"       .";"       .";"       .";"       .";"   23944";"       .";"       .";"";"";"       .";"";"";""
"35";"1981JJ00";"   38105";"   84433";"       .";"    3352";"";"";"";"";"";"";"   49670";"";"";"";"";"";"";"       .";"     -10";"       .";"       .";"       .";"       .";"   22686";"       .";"       .";"";"";"       .";"";"";""
"36";"1982MM01";"    5023";"   10151";"       .";"     283";"";"";"";"";"";"";"    5419";"";"";"";"";"";"";"       .";"       8";"    5023";"    1310";"     447";"     863";"    3694";"      19";"       .";"";"";"       2";"";"";""
"37";"1982MM02";"    4084";"    8441";"       .";"     263";"";"";"";"";"";"";"    4617";"";"";"";"";"";"";"       .";"      -3";"    4084";"    1205";"     426";"     779";"    2862";"      17";"       .";"";"";"       2";"";"";""
"38";"1982MM03";"    3839";"    7992";"       .";"     331";"";"";"";"";"";"";"    4487";"";"";"";"";"";"";"       .";"       3";"    3839";"    1204";"     396";"     808";"    2617";"      18";"       .";"";"";"       2";"";"";""
"39";"1982KW01";"   12945";"   26583";"       .";"     877";"";"";"";"";"";"";"   14523";"";"";"";"";"";"";"       .";"       8";"   12945";"    3719";"    1269";"    2450";"    9172";"      54";"       .";"";"";"       7";"";"";""
"40";"1982MM04";"    2902";"    6247";"       .";"     316";"";"";"";"";"";"";"    3667";"";"";"";"";"";"";"       .";"       6";"    2902";"    1161";"     371";"     790";"    1724";"      17";"       .";"";"";"       2";"";"";""
"41";"1982MM05";"    2213";"    4618";"       .";"     285";"";"";"";"";"";"";"    2679";"";"";"";"";"";"";"       .";"     -11";"    2213";"    1179";"     427";"     752";"    1016";"      18";"       .";"";"";"       2";"";"";""
"42";"1982MM06";"    1821";"    3592";"       .";"     275";"";"";"";"";"";"";"    2050";"";"";"";"";"";"";"       .";"       4";"    1821";"    1269";"     553";"     716";"     537";"      15";"       .";"";"";"       2";"";"";""
"43";"1982KW02";"    6936";"   14457";"       .";"     876";"";"";"";"";"";"";"    8396";"";"";"";"";"";"";"       .";"      -1";"    6936";"    3609";"    1351";"    2258";"    3277";"      50";"       .";"";"";"       6";"";"";""
"44";"1982MM07";"    1696";"    2969";"       .";"     303";"";"";"";"";"";"";"    1576";"";"";"";"";"";"";"       .";"       0";"    1696";"    1246";"     521";"     725";"     436";"      14";"       .";"";"";"       2";"";"";""
"45";"1982MM08";"    1709";"    2891";"       .";"     277";"";"";"";"";"";"";"    1462";"";"";"";"";"";"";"       .";"       3";"    1709";"    1199";"     511";"     688";"     495";"      15";"       .";"";"";"       1";"";"";""
"46";"1982MM09";"    1885";"    3974";"       .";"     233";"";"";"";"";"";"";"    2319";"";"";"";"";"";"";"       .";"      -3";"    1885";"    1302";"     539";"     763";"     564";"      19";"       .";"";"";"       1";"";"";""
"47";"1982KW03";"    5290";"    9834";"       .";"     813";"";"";"";"";"";"";"    5357";"";"";"";"";"";"";"       .";"       0";"    5290";"    3747";"    1571";"    2176";"    1495";"      48";"       .";"";"";"       4";"";"";""
"48";"1982MM10";"    2829";"    5233";"       .";"     255";"";"";"";"";"";"";"    2648";"";"";"";"";"";"";"       .";"     -11";"    2829";"    1558";"     726";"     832";"    1254";"      17";"       .";"";"";"       2";"";"";""
"49";"1982MM11";"    3605";"    6807";"       .";"     262";"";"";"";"";"";"";"    3471";"";"";"";"";"";"";"       .";"       7";"    3605";"    1609";"     766";"     843";"    1976";"      20";"       .";"";"";"       3";"";"";""
"50";"1982MM12";"    4627";"    9098";"       .";"     308";"";"";"";"";"";"";"    4779";"";"";"";"";"";"";"       .";"       0";"    4627";"    1647";"     762";"     885";"    2959";"      21";"       .";"";"";"       2";"";"";""
"51";"1982KW04";"   11061";"   21138";"       .";"     825";"";"";"";"";"";"";"   10898";"";"";"";"";"";"";"       .";"      -4";"   11061";"    4814";"    2254";"    2560";"    6189";"      58";"       .";"";"";"       7";"";"";""
"52";"1982JJ00";"   36230";"   72011";"       .";"    3390";"";"";"";"";"";"";"   39173";"";"";"";"";"";"";"       .";"       2";"   36230";"   15888";"    6445";"    9443";"   20133";"     209";"       .";"";"";"      24";"";"";""
"53";"1983MM01";"    4405";"    8343";"       .";"     239";"";"";"";"";"";"";"    4182";"";"";"";"";"";"";"       .";"       5";"    4405";"    1618";"     749";"     869";"    2765";"      22";"       .";"";"";"       4";"";"";""
"54";"1983MM02";"    4566";"    9494";"       .";"     222";"";"";"";"";"";"";"    5153";"";"";"";"";"";"";"       .";"       3";"    4566";"    1338";"     525";"     813";"    3207";"      21";"       .";"";"";"       2";"";"";""
"55";"1983MM03";"    3915";"    8530";"       .";"     262";"";"";"";"";"";"";"    4881";"";"";"";"";"";"";"       .";"       4";"    3915";"    1387";"     587";"     800";"    2506";"      22";"       .";"";"";"       1";"";"";""
"56";"1983KW01";"   12886";"   26367";"       .";"     723";"";"";"";"";"";"";"   14216";"";"";"";"";"";"";"       .";"      12";"   12886";"    4343";"    1861";"    2482";"    8478";"      65";"       .";"";"";"       7";"";"";""
"57";"1983MM04";"    3207";"    6913";"       .";"     243";"";"";"";"";"";"";"    3938";"";"";"";"";"";"";"       .";"     -11";"    3207";"    1523";"     723";"     800";"    1661";"      23";"       .";"";"";"       2";"";"";""
"58";"1983MM05";"    2839";"    5962";"       .";"     291";"";"";"";"";"";"";"    3418";"";"";"";"";"";"";"       .";"       4";"    2839";"    1546";"     751";"     795";"    1271";"      22";"       .";"";"";"       2";"";"";""
"59";"1983MM06";"    2141";"    4139";"       .";"     314";"";"";"";"";"";"";"    2317";"";"";"";"";"";"";"       .";"       5";"    2141";"    1588";"     822";"     766";"     534";"      19";"       .";"";"";"       2";"";"";""
"60";"1983KW02";"    8187";"   17014";"       .";"     848";"";"";"";"";"";"";"    9673";"";"";"";"";"";"";"       .";"      -2";"    8187";"    4657";"    2296";"    2361";"    3466";"      64";"       .";"";"";"       6";"";"";""
"61";"1983MM07";"    1777";"    3237";"       .";"     341";"";"";"";"";"";"";"    1796";"";"";"";"";"";"";"       .";"      -5";"    1777";"    1372";"     622";"     750";"     386";"      19";"       .";"";"";"       2";"";"";""
"62";"1983MM08";"    1844";"    3092";"       .";"     337";"";"";"";"";"";"";"    1592";"";"";"";"";"";"";"       .";"       7";"    1844";"    1407";"     604";"     803";"     419";"      18";"       .";"";"";"       3";"";"";""
"63";"1983MM09";"    2229";"    4442";"       .";"     252";"";"";"";"";"";"";"    2463";"";"";"";"";"";"";"       .";"      -2";"    2229";"    1454";"     672";"     782";"     755";"      20";"       .";"";"";"       4";"";"";""
"64";"1983KW03";"    5850";"   10771";"       .";"     930";"";"";"";"";"";"";"    5851";"";"";"";"";"";"";"       .";"       0";"    5850";"    4233";"    1898";"    2335";"    1560";"      57";"       .";"";"";"       9";"";"";""
"65";"1983MM10";"    3050";"    5420";"       .";"     276";"";"";"";"";"";"";"    2648";"";"";"";"";"";"";"       .";"       2";"    3050";"    1627";"     745";"     882";"    1401";"      22";"       .";"";"";"       4";"";"";""
"66";"1983MM11";"    3862";"    7457";"       .";"     184";"";"";"";"";"";"";"    3778";"";"";"";"";"";"";"       .";"      -1";"    3862";"    1684";"     801";"     883";"    2154";"      24";"       .";"";"";"       3";"";"";""
"67";"1983MM12";"    4709";"    9463";"       .";"     219";"";"";"";"";"";"";"    4962";"";"";"";"";"";"";"       .";"     -11";"    4709";"    1786";"     870";"     916";"    2896";"      27";"       .";"";"";"      12";"";"";""
"68";"1983KW04";"   11621";"   22340";"       .";"     679";"";"";"";"";"";"";"   11388";"";"";"";"";"";"";"       .";"     -10";"   11621";"    5097";"    2416";"    2681";"    6451";"      73";"       .";"";"";"      19";"";"";""
"69";"1983JJ00";"   38547";"   76497";"       .";"    3180";"";"";"";"";"";"";"   41130";"";"";"";"";"";"";"       .";"       0";"   38547";"   18333";"    8472";"    9861";"   19956";"     258";"       .";"";"";"      39";"";"";""
"70";"1984MM01";"    4976";"   10252";"       .";"     265";"";"";"";"";"";"";"    5551";"";"";"";"";"";"";"       .";"      10";"    4976";"    1771";"     817";"     954";"    3179";"      26";"       .";"";"";"       3";"";"";""
"71";"1984MM02";"    4764";"    9876";"       .";"     254";"";"";"";"";"";"";"    5360";"";"";"";"";"";"";"       .";"      -6";"    4764";"    1617";"     705";"     912";"    3125";"      22";"       .";"";"";"       3";"";"";""
"72";"1984MM03";"    4483";"    9253";"       .";"     265";"";"";"";"";"";"";"    5031";"";"";"";"";"";"";"       .";"      -4";"    4483";"    1744";"     779";"     965";"    2713";"      26";"       .";"";"";"       5";"";"";""
"73";"1984KW01";"   14223";"   29381";"       .";"     784";"";"";"";"";"";"";"   15942";"";"";"";"";"";"";"       .";"       0";"   14223";"    5132";"    2301";"    2831";"    9017";"      74";"       .";"";"";"      11";"";"";""
"74";"1984MM04";"    3305";"    6502";"       .";"     308";"";"";"";"";"";"";"    3509";"";"";"";"";"";"";"       .";"       4";"    3305";"    1613";"     737";"     876";"    1668";"      24";"       .";"";"";"       3";"";"";""
"75";"1984MM05";"    2940";"    5414";"       .";"     437";"";"";"";"";"";"";"    2905";"";"";"";"";"";"";"       .";"      -6";"    2940";"    1638";"     745";"     893";"    1279";"      23";"       .";"";"";"       4";"";"";""
"76";"1984MM06";"    2339";"    4218";"       .";"     370";"";"";"";"";"";"";"    2250";"";"";"";"";"";"";"       .";"       1";"    2339";"    1588";"     741";"     847";"     730";"      21";"       .";"";"";"       3";"";"";""
"77";"1984KW02";"    8584";"   16134";"       .";"    1115";"";"";"";"";"";"";"    8664";"";"";"";"";"";"";"       .";"      -1";"    8584";"    4839";"    2223";"    2616";"    3677";"      68";"       .";"";"";"      10";"";"";""
"78";"1984MM07";"    2046";"    3488";"       .";"     389";"";"";"";"";"";"";"    1832";"";"";"";"";"";"";"       .";"       1";"    2046";"    1481";"     660";"     821";"     545";"      20";"       .";"";"";"       4";"";"";""
"79";"1984MM08";"    2066";"    3462";"       .";"     227";"";"";"";"";"";"";"    1625";"";"";"";"";"";"";"       .";"       2";"    2066";"    1587";"     742";"     845";"     458";"      21";"       .";"";"";"       3";"";"";""
"80";"1984MM09";"    2505";"    4397";"       .";"     298";"";"";"";"";"";"";"    2189";"";"";"";"";"";"";"       .";"      -1";"    2505";"    1647";"     794";"     853";"     836";"      22";"       .";"";"";"       4";"";"";""
"81";"1984KW03";"    6617";"   11347";"       .";"     914";"";"";"";"";"";"";"    5646";"";"";"";"";"";"";"       .";"       2";"    6617";"    4715";"    2196";"    2519";"    1839";"      63";"       .";"";"";"      11";"";"";""
"82";"1984MM10";"    3137";"    5486";"       .";"     302";"";"";"";"";"";"";"    2652";"";"";"";"";"";"";"       .";"       1";"    3137";"    1809";"     822";"     987";"    1308";"      20";"       .";"";"";"       5";"";"";""
"83";"1984MM11";"    3645";"    6728";"       .";"     170";"";"";"";"";"";"";"    3252";"";"";"";"";"";"";"       .";"      -1";"    3645";"    1805";"     817";"     988";"    1820";"      20";"       .";"";"";"       4";"";"";""
"84";"1984MM12";"    4507";"    8128";"       .";"     134";"";"";"";"";"";"";"    3760";"";"";"";"";"";"";"       .";"       5";"    4507";"    1843";"     889";"     954";"    2641";"      23";"       .";"";"";"       5";"";"";""
"85";"1984KW04";"   11289";"   20342";"       .";"     606";"";"";"";"";"";"";"    9664";"";"";"";"";"";"";"       .";"       5";"   11289";"    5457";"    2528";"    2929";"    5769";"      63";"       .";"";"";"      14";"";"";""
"86";"1984JJ00";"   40719";"   77205";"       .";"    3419";"";"";"";"";"";"";"   39917";"";"";"";"";"";"";"       .";"      12";"   40719";"   20143";"    9248";"   10895";"   20308";"     268";"       .";"";"";"      46";"";"";""
"87";"1985MM01";"    6319";"   12587";"       .";"      65";"";"";"";"";"";"";"    6341";"";"";"";"";"";"";"       .";"       8";"    6319";"    1905";"     863";"    1042";"    4388";"      26";"       .";"";"";"       5";"";"";""
"88";"1985MM02";"    5121";"   10411";"       .";"      74";"";"";"";"";"";"";"    5362";"";"";"";"";"";"";"       .";"      -2";"    5121";"    1649";"     737";"     912";"    3450";"      22";"       .";"";"";"       5";"";"";""
"89";"1985MM03";"    4625";"    9620";"       .";"      54";"";"";"";"";"";"";"    5044";"";"";"";"";"";"";"       .";"      -5";"    4625";"    1836";"     855";"     981";"    2765";"      24";"       .";"";"";"       4";"";"";""
"90";"1985KW01";"   16065";"   32618";"       .";"     193";"";"";"";"";"";"";"   16747";"";"";"";"";"";"";"       .";"       1";"   16065";"    5390";"    2455";"    2935";"   10603";"      72";"       .";"";"";"      14";"";"";""
"91";"1985MM04";"    3280";"    6312";"       .";"     192";"";"";"";"";"";"";"    3231";"";"";"";"";"";"";"       .";"       7";"    3280";"    1552";"     729";"     823";"    1707";"      21";"       .";"";"";"       4";"";"";""
"92";"1985MM05";"    2647";"    5054";"       .";"     325";"";"";"";"";"";"";"    2730";"";"";"";"";"";"";"       .";"      -2";"    2647";"    1634";"     753";"     881";"     992";"      21";"       .";"";"";"       3";"";"";""
"93";"1985MM06";"    2393";"    4042";"       .";"     249";"";"";"";"";"";"";"    1902";"";"";"";"";"";"";"       .";"       4";"    2393";"    1620";"     780";"     840";"     755";"      18";"       .";"";"";"       3";"";"";""
"94";"1985KW02";"    8320";"   15408";"       .";"     766";"";"";"";"";"";"";"    7863";"";"";"";"";"";"";"       .";"       9";"    8320";"    4806";"    2262";"    2544";"    3454";"      60";"       .";"";"";"      10";"";"";""
"95";"1985MM07";"    1910";"    2732";"       .";"     356";"";"";"";"";"";"";"    1182";"";"";"";"";"";"";"       .";"       4";"    1910";"    1446";"     616";"     830";"     446";"      18";"       .";"";"";"       5";"";"";""
"96";"1985MM08";"    2070";"    3036";"       .";"     254";"";"";"";"";"";"";"    1221";"";"";"";"";"";"";"       .";"       1";"    2070";"    1556";"     692";"     864";"     496";"      18";"       .";"";"";"       6";"";"";""
"97";"1985MM09";"    2234";"    3779";"       .";"     154";"";"";"";"";"";"";"    1697";"";"";"";"";"";"";"       .";"      -2";"    2234";"    1529";"     756";"     773";"     687";"      18";"       .";"";"";"       5";"";"";""
"98";"1985KW03";"    6214";"    9547";"       .";"     764";"";"";"";"";"";"";"    4100";"";"";"";"";"";"";"       .";"       3";"    6214";"    4531";"    2064";"    2467";"    1629";"      54";"       .";"";"";"      16";"";"";""
"99";"1985MM10";"    3281";"    5515";"       .";"     186";"";"";"";"";"";"";"    2423";"";"";"";"";"";"";"       .";"       3";"    3281";"    1900";"     875";"    1025";"    1359";"      22";"       .";"";"";"       4";"";"";""
"100";"1985MM11";"    4715";"    9339";"       .";"      71";"";"";"";"";"";"";"    4697";"";"";"";"";"";"";"       .";"       2";"    4715";"    1868";"     804";"    1064";"    2823";"      24";"       .";"";"";"       5";"";"";""
"101";"1985MM12";"    4166";"    8240";"       .";"     111";"";"";"";"";"";"";"    4190";"";"";"";"";"";"";"       .";"       5";"    4166";"    1664";"     718";"     946";"    2478";"      24";"       .";"";"";"       5";"";"";""
"102";"1985KW04";"   12162";"   23094";"       .";"     368";"";"";"";"";"";"";"   11310";"";"";"";"";"";"";"       .";"      10";"   12162";"    5432";"    2397";"    3035";"    6660";"      70";"       .";"";"";"      14";"";"";""
"103";"1985JJ00";"   42756";"   80668";"       .";"    2091";"";"";"";"";"";"";"   40019";"";"";"";"";"";"";"       .";"      16";"   42756";"   20161";"    9179";"   10982";"   22339";"     256";"       .";"";"";"      53";"";"";""
"104";"1986MM01";"    5254";"    9532";"       .";"     108";"";"";"";"";"";"";"    4380";"";"";"";"";"";"";"       .";"      -6";"    5254";"    1824";"     827";"     997";"    3405";"      25";"       .";"";"";"       5";"";"";""
"105";"1986MM02";"    5860";"   10748";"       .";"      48";"";"";"";"";"";"";"    4940";"";"";"";"";"";"";"       .";"       4";"    5860";"    1654";"     736";"     918";"    4180";"      26";"       .";"";"";"      19";"";"";""
"106";"1986MM03";"    4527";"    7781";"       .";"     123";"";"";"";"";"";"";"    3373";"";"";"";"";"";"";"       .";"      -4";"    4527";"    1713";"     879";"     834";"    2789";"      25";"       .";"";"";"      12";"";"";""
"107";"1986KW01";"   15641";"   28025";"       .";"     279";"";"";"";"";"";"";"   12693";"";"";"";"";"";"";"       .";"       6";"   15641";"    5191";"    2442";"    2749";"   10374";"      76";"       .";"";"";"      36";"";"";""
"108";"1986MM04";"    3735";"    7251";"       .";"      45";"";"";"";"";"";"";"    3564";"";"";"";"";"";"";"       .";"       3";"    3735";"    1534";"     750";"     784";"    2177";"      24";"       .";"";"";"      14";"";"";""
"109";"1986MM05";"    2332";"    3495";"       .";"     286";"";"";"";"";"";"";"    1450";"";"";"";"";"";"";"       .";"       1";"    2332";"    1466";"     647";"     819";"     845";"      21";"       .";"";"";"      10";"";"";""
"110";"1986MM06";"    2198";"    3578";"       .";"     223";"";"";"";"";"";"";"    1597";"";"";"";"";"";"";"       .";"      -6";"    2198";"    1512";"     763";"     749";"     665";"      21";"       .";"";"";"      11";"";"";""
"111";"1986KW02";"    8265";"   14324";"       .";"     554";"";"";"";"";"";"";"    6611";"";"";"";"";"";"";"       .";"      -2";"    8265";"    4512";"    2160";"    2352";"    3687";"      66";"       .";"";"";"      35";"";"";""
"112";"1986MM07";"    2047";"    3100";"       .";"     235";"";"";"";"";"";"";"    1291";"";"";"";"";"";"";"       .";"       3";"    2047";"    1536";"     725";"     811";"     493";"      18";"       .";"";"";"      11";"";"";""
"113";"1986MM08";"    2200";"    2949";"       .";"     247";"";"";"";"";"";"";"    1004";"";"";"";"";"";"";"       .";"       8";"    2200";"    1595";"     737";"     858";"     585";"      20";"       .";"";"";"      12";"";"";""
"114";"1986MM09";"    2670";"    4772";"       .";"     203";"";"";"";"";"";"";"    2299";"";"";"";"";"";"";"       .";"      -6";"    2670";"    1628";"     788";"     840";"    1019";"      23";"       .";"";"";"      13";"";"";""
"115";"1986KW03";"    6915";"   10821";"       .";"     685";"";"";"";"";"";"";"    4594";"";"";"";"";"";"";"       .";"       3";"    6915";"    4759";"    2250";"    2509";"    2095";"      61";"       .";"";"";"      36";"";"";""
"116";"1986MM10";"    3302";"    4933";"       .";"     216";"";"";"";"";"";"";"    1851";"";"";"";"";"";"";"       .";"       4";"    3302";"    2036";"     944";"    1092";"    1240";"      26";"       .";"";"";"      12";"";"";""
"117";"1986MM11";"    3966";"    6956";"       .";"     139";"";"";"";"";"";"";"    3133";"";"";"";"";"";"";"       .";"       4";"    3966";"    1903";"     931";"     972";"    2032";"      31";"       .";"";"";"      11";"";"";""
"118";"1986MM12";"    4790";"    8803";"       .";"     112";"";"";"";"";"";"";"    4127";"";"";"";"";"";"";"       .";"       2";"    4790";"    2021";"     990";"    1031";"    2735";"      34";"       .";"";"";"      10";"";"";""
"119";"1986KW04";"   12058";"   20692";"       .";"     467";"";"";"";"";"";"";"    9111";"";"";"";"";"";"";"       .";"      10";"   12058";"    5960";"    2865";"    3095";"    6007";"      91";"       .";"";"";"      33";"";"";""
"120";"1986JJ00";"   42878";"   73897";"       .";"    1987";"";"";"";"";"";"";"   33010";"";"";"";"";"";"";"       .";"       4";"   42878";"   20422";"    9717";"   10705";"   22164";"     292";"       .";"";"";"     140";"";"";""
"121";"1987MM01";"    6617";"   11209";"       .";"      57";"";"";"";"";"";"";"    4655";"";"";"";"";"";"";"       .";"       6";"    6617";"    2023";"     919";"    1104";"    4561";"      33";"       .";"";"";"       9";"";"";""
"122";"1987MM02";"    5038";"    9060";"       .";"     103";"";"";"";"";"";"";"    4117";"";"";"";"";"";"";"       .";"      -8";"    5038";"    1885";"     920";"     965";"    3123";"      30";"       .";"";"";"       7";"";"";""
"123";"1987MM03";"    5395";"    9843";"       .";"     139";"";"";"";"";"";"";"    4589";"";"";"";"";"";"";"       .";"       2";"    5395";"    1988";"     938";"    1050";"    3376";"      31";"       .";"";"";"       8";"";"";""
