"ID";"DutchEconomy";"Periods";"TotalCO2_1";"CO2ExclBiomass_2";"CO2Biomass_3";"N2O_4";"CH4_5";"GreenhouseGasEquivalents_6";"NOx_7";"SO2_8";"NH3_9";"AcidificationEquivalents_10";"CFK12Equivalents_11";"CO_12";"NMVOC_13";"PM10_14"
"30";"B000579";"2020JJ00";"  174426";"  154721";" 19705.5";"    27.1";"   680.7";"  201975";"   370.9";"    27.2";"   124.9";"    16.2";"    64.5";"   491.8";"   281.6";"    30.7"
"31";"B000579";"2021JJ00";"  179629";"  157341";" 22288.3";"    26.2";"   671.3";"  206812";"   365.4";"    28.9";"   121.7";"    16.0";"    63.1";"   467.2";"   281.8";"    28.7"
"32";"1050010";"1990JJ00";"   36965";"   35494";"  1471.0";"     0.4";"    28.2";"   37865";"   154.5";"     6.0";"    12.4";"     4.3";"   678.7";"   668.3";"   198.5";"    16.5"
"33";"1050010";"1991JJ00";"   40152";"   38689";"  1463.5";"     0.5";"    29.2";"   41103";"   148.2";"     5.7";"    12.7";"     4.1";"   571.8";"   593.4";"   175.9";"    15.7"
"34";"1050010";"1992JJ00";"   38709";"   37236";"  1472.7";"     0.6";"    27.3";"   39632";"   137.1";"     5.6";"    13.1";"     3.9";"   464.9";"   567.8";"   167.1";"    15.3"
"35";"1050010";"1993JJ00";"   39945";"   38457";"  1487.7";"     0.7";"    27.4";"   40897";"   128.7";"     5.4";"    13.4";"     3.7";"   358.0";"   534.5";"   158.9";"    14.6"
"36";"1050010";"1994JJ00";"   38894";"   37386";"  1507.4";"     0.8";"    26.1";"   39830";"   119.9";"     5.1";"    13.4";"     3.5";"   251.2";"   510.4";"   152.3";"    14.2"
"37";"1050010";"1995JJ00";"   40962";"   39429";"  1532.8";"     0.9";"    27.4";"   42018";"   115.9";"     4.7";"    11.1";"     3.3";"   144.3";"   517.4";"   148.1";"    15.2"
"38";"1050010";"1996JJ00";"   44919";"   43341";"  1577.4";"     0.9";"    29.8";"   46081";"   113.7";"     3.7";"    11.4";"     3.3";"    58.5";"   504.5";"   143.3";"    14.7"
"39";"1050010";"1997JJ00";"   41124";"   39535";"  1588.6";"     0.9";"    26.3";"   42192";"   104.3";"     2.3";"    11.9";"     3.0";"    48.8";"   490.6";"   135.0";"    14.6"
"40";"1050010";"1998JJ00";"   40098";"   38499";"  1599.5";"     0.9";"    25.1";"   41139";"    96.3";"     2.4";"    12.2";"     2.9";"    42.1";"   467.0";"   122.9";"    14.4"
"41";"1050010";"1999JJ00";"   39606";"   37999";"  1607.2";"     0.9";"    23.7";"   40569";"    92.7";"     2.5";"    12.6";"     2.8";"    45.1";"   451.7";"   114.8";"    13.9"
"42";"1050010";"2000JJ00";"   39816";"   38206";"  1610.9";"     0.9";"    23.3";"   41080";"    86.0";"     2.0";"    11.8";"     2.6";"    39.1";"   449.4";"   110.5";"    14.3"
"43";"1050010";"2001JJ00";"   40704";"   39104";"  1599.9";"     0.9";"    23.6";"   41832";"    81.0";"     1.1";"    13.4";"     2.6";"    34.6";"   440.6";"   104.2";"    13.5"
"44";"1050010";"2002JJ00";"   40185";"   38594";"  1590.6";"     0.9";"    22.9";"   41292";"    76.9";"     1.2";"    13.4";"     2.5";"    30.9";"   442.4";"    99.9";"    13.5"
"45";"1050010";"2003JJ00";"   40889";"   39263";"  1625.9";"     0.8";"    23.1";"   42005";"    73.2";"     0.9";"    13.3";"     2.4";"    27.6";"   446.1";"    96.9";"    13.6"
"46";"1050010";"2004JJ00";"   40320";"   38613";"  1706.5";"     0.9";"    22.2";"   41451";"    68.4";"     0.9";"    13.3";"     2.3";"    24.2";"   447.2";"    93.9";"    13.5"
"47";"1050010";"2005JJ00";"   39422";"   37631";"  1791.0";"     0.9";"    21.7";"   40548";"    64.3";"     0.8";"    13.7";"     2.2";"    21.2";"   441.4";"    92.4";"    13.4"
"48";"1050010";"2006JJ00";"   39479";"   37545";"  1934.1";"     1.0";"    21.5";"   40638";"    60.1";"     0.8";"    13.4";"     2.1";"    18.3";"   438.0";"    91.0";"    13.5"
"49";"1050010";"2007JJ00";"   37298";"   34985";"  2312.3";"     1.0";"    19.6";"   38433";"    57.2";"     0.8";"    13.0";"     2.0";"    15.3";"   434.0";"    89.2";"    13.0"
